r_ijk_x   r_ijk_y   r_ijk_z
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
222228 222228 6.35471e+06
67525.9 67525.9 6.37092e+06
531631 67525.9 6.3466e+06
67525.9 531631 6.3466e+06
313436 313436 6.34515e+06
39811.5 313436 6.35949e+06
313436 39811.5 6.35949e+06
-222228 222228 6.35471e+06
-67525.9 67525.9 6.37092e+06
-67525.9 531631 6.3466e+06
-531631 67525.9 6.3466e+06
-313436 313436 6.34515e+06
-313436 39811.5 6.35949e+06
-39811.5 313436 6.35949e+06
-222228 -222228 6.35471e+06
-67525.9 -67525.9 6.37092e+06
-531631 -67525.9 6.3466e+06
-67525.9 -531631 6.3466e+06
-313436 -313436 6.34515e+06
-39811.5 -313436 6.35949e+06
-313436 -39811.5 6.35949e+06
222228 -222228 6.35471e+06
67525.9 -67525.9 6.37092e+06
67525.9 -531631 6.3466e+06
531631 -67525.9 6.3466e+06
313436 -313436 6.34515e+06
313436 -39811.5 6.35949e+06
39811.5 -313436 6.35949e+06
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
534903 -534903 6.30905e+06
626640 -162535 6.33273e+06
162535 -626640 6.33273e+06
815534 -815534 6.26169e+06
480817 -754441 6.29509e+06
754441 -480817 6.29509e+06
369451 -369451 6.33697e+06
976923 -312675 6.27424e+06
760952 -95009.4 6.32215e+06
949846 -748008 6.25111e+06
1.21997e+06 -95009.4 6.24945e+06
1.10425e+06 -441006 6.24599e+06
992888 -56015.1 6.28787e+06
833628 -441006 6.28885e+06
976803 312556 6.27344e+06
760916 94973 6.3219e+06
1.21994e+06 94973 6.2492e+06
949559 747721 6.2492e+06
1.10408e+06 440836 6.24486e+06
833459 440836 6.28772e+06
992866 55993.6 6.28772e+06
534783 534783 6.30825e+06
626604 162499 6.33248e+06
815247 815247 6.25978e+06
162499 626604 6.33248e+06
480648 754272 6.29396e+06
369429 369429 6.33682e+06
754272 480648 6.29396e+06
222228 222228 6.35471e+06
531631 67525.9 6.3466e+06
67525.9 531631 6.3466e+06
67525.9 67525.9 6.37092e+06
39811.5 313436 6.35949e+06
313436 39811.5 6.35949e+06
313436 313436 6.34515e+06
222228 -222228 6.35471e+06
531631 -67525.9 6.3466e+06
67525.9 -67525.9 6.37092e+06
67525.9 -531631 6.3466e+06
39811.5 -313436 6.35949e+06
313436 -313436 6.34515e+06
313436 -39811.5 6.35949e+06
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
534783 534783 6.30825e+06
162499 626604 6.33248e+06
626604 162499 6.33248e+06
815247 815247 6.25978e+06
754272 480648 6.29396e+06
480648 754272 6.29396e+06
369429 369429 6.33682e+06
312556 976803 6.27344e+06
94973 760916 6.3219e+06
747721 949559 6.2492e+06
94973 1.21994e+06 6.2492e+06
440836 1.10408e+06 6.24486e+06
55993.6 992866 6.28772e+06
440836 833459 6.28772e+06
-312556 976803 6.27344e+06
-94973 760916 6.3219e+06
-94973 1.21994e+06 6.2492e+06
-747721 949559 6.2492e+06
-440836 1.10408e+06 6.24486e+06
-440836 833459 6.28772e+06
-55993.6 992866 6.28772e+06
-534783 534783 6.30825e+06
-162499 626604 6.33248e+06
-815247 815247 6.25978e+06
-626604 162499 6.33248e+06
-754272 480648 6.29396e+06
-369429 369429 6.33682e+06
-480648 754272 6.29396e+06
-222228 222228 6.35471e+06
-67525.9 531631 6.3466e+06
-531631 67525.9 6.3466e+06
-67525.9 67525.9 6.37092e+06
-313436 39811.5 6.35949e+06
-39811.5 313436 6.35949e+06
-313436 313436 6.34515e+06
222228 222228 6.35471e+06
67525.9 531631 6.3466e+06
67525.9 67525.9 6.37092e+06
531631 67525.9 6.3466e+06
313436 39811.5 6.35949e+06
313436 313436 6.34515e+06
39811.5 313436 6.35949e+06
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-534783 534783 6.30825e+06
-626604 162499 6.33248e+06
-162499 626604 6.33248e+06
-815247 815247 6.25978e+06
-480648 754272 6.29396e+06
-754272 480648 6.29396e+06
-369429 369429 6.33682e+06
-976803 312556 6.27344e+06
-760916 94973 6.3219e+06
-949559 747721 6.2492e+06
-1.21994e+06 94973 6.2492e+06
-1.10408e+06 440836 6.24486e+06
-992866 55993.6 6.28772e+06
-833459 440836 6.28772e+06
-976803 -312556 6.27344e+06
-760916 -94973 6.3219e+06
-1.21994e+06 -94973 6.2492e+06
-949559 -747721 6.2492e+06
-1.10408e+06 -440836 6.24486e+06
-833459 -440836 6.28772e+06
-992866 -55993.6 6.28772e+06
-534783 -534783 6.30825e+06
-626604 -162499 6.33248e+06
-815247 -815247 6.25978e+06
-162499 -626604 6.33248e+06
-480648 -754272 6.29396e+06
-369429 -369429 6.33682e+06
-754272 -480648 6.29396e+06
-222228 -222228 6.35471e+06
-531631 -67525.9 6.3466e+06
-67525.9 -531631 6.3466e+06
-67525.9 -67525.9 6.37092e+06
-39811.5 -313436 6.35949e+06
-313436 -39811.5 6.35949e+06
-313436 -313436 6.34515e+06
-222228 222228 6.35471e+06
-531631 67525.9 6.3466e+06
-67525.9 67525.9 6.37092e+06
-67525.9 531631 6.3466e+06
-39811.5 313436 6.35949e+06
-313436 313436 6.34515e+06
-313436 39811.5 6.35949e+06
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66
-534783 -534783 6.30825e+06
-162499 -626604 6.33248e+06
-626604 -162499 6.33248e+06
-815247 -815247 6.25978e+06
-754272 -480648 6.29396e+06
-480648 -754272 6.29396e+06
-369429 -369429 6.33682e+06
-312556 -976803 6.27344e+06
-94973 -760916 6.3219e+06
-747721 -949559 6.2492e+06
-94973 -1.21994e+06 6.2492e+06
-440836 -1.10408e+06 6.24486e+06
-55993.6 -992866 6.28772e+06
-440836 -833459 6.28772e+06
312675 -976923 6.27424e+06
95009.4 -760952 6.32215e+06
95009.4 -1.21997e+06 6.24945e+06
748008 -949846 6.25111e+06
441006 -1.10425e+06 6.24599e+06
441006 -833628 6.28885e+06
56015.1 -992888 6.28787e+06
534903 -534903 6.30905e+06
162535 -626640 6.33273e+06
815534 -815534 6.26169e+06
626640 -162535 6.33273e+06
754441 -480817 6.29509e+06
369451 -369451 6.33697e+06
