nt_x   nt_y   nt_z   A_t
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.0522644 0.0522644 0.997265 2.22842e+11
-0.0522644 0.0522644 0.997265 2.22842e+11
-0.0522644 -0.0522644 0.997265 2.22842e+11
0.0522644 -0.0522644 0.997265 2.22842e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.0837806 -0.0837806 0.992956 4.05993e+11
0.156133 -0.0620709 0.985784 3.13717e+11
0.156107 0.0646617 0.985621 3.13648e+11
0.0857685 0.0857685 0.992617 4.0589e+11
0.0522644 0.0522644 0.997265 2.22842e+11
0.0522644 -0.0522644 0.997265 2.22842e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.0857685 0.0857685 0.992617 4.0589e+11
0.0646617 0.156107 0.985621 3.13648e+11
-0.0646617 0.156107 0.985621 3.13648e+11
-0.0857685 0.0857685 0.992617 4.0589e+11
-0.0522644 0.0522644 0.997265 2.22842e+11
0.0522644 0.0522644 0.997265 2.22842e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.0857685 0.0857685 0.992617 4.0589e+11
-0.156107 0.0646617 0.985621 3.13648e+11
-0.156107 -0.0646617 0.985621 3.13648e+11
-0.0857685 -0.0857685 0.992617 4.0589e+11
-0.0522644 -0.0522644 0.997265 2.22842e+11
-0.0522644 0.0522644 0.997265 2.22842e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.0857685 -0.0857685 0.992617 4.0589e+11
-0.0646617 -0.156107 0.985621 3.13648e+11
0.0620709 -0.156133 0.985784 3.13717e+11
0.0837806 -0.0837806 0.992956 4.05993e+11
0.0522644 -0.0522644 0.997265 2.22842e+11
-0.0522644 -0.0522644 0.997265 2.22842e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.214049 -0.0860619 0.973024 3.80336e+11
0.258231 -0.0673598 0.963732 3.29786e+11
0.258199 0.0691842 0.963611 3.29734e+11
0.213094 0.0882663 0.973037 3.80153e+11
0.156107 0.0646617 0.985621 3.13648e+11
0.156133 -0.0620709 0.985784 3.13717e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.213094 0.0882663 0.973037 3.80153e+11
0.202625 0.202625 0.958064 3.07585e+11
0.0882663 0.213094 0.973037 3.80153e+11
0.0646617 0.156107 0.985621 3.13648e+11
0.0857685 0.0857685 0.992617 4.0589e+11
0.156107 0.0646617 0.985621 3.13648e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
0.0882663 0.213094 0.973037 3.80153e+11
0.0691968 0.258169 0.963618 3.29735e+11
-0.0691125 0.258171 0.963624 3.29737e+11
-0.0882248 0.212994 0.973062 3.80157e+11
-0.0646617 0.156107 0.985621 3.13648e+11
0.0646617 0.156107 0.985621 3.13648e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.0882248 0.212994 0.973062 3.80157e+11
-0.202633 0.202521 0.958084 3.07588e+11
-0.21309 0.0882649 0.973037 3.80154e+11
-0.156107 0.0646617 0.985621 3.13648e+11
-0.0857685 0.0857685 0.992617 4.0589e+11
-0.0646617 0.156107 0.985621 3.13648e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.21309 0.0882649 0.973037 3.80154e+11
-0.258199 0.0691814 0.963612 3.29734e+11
-0.258199 -0.0691842 0.963611 3.29734e+11
-0.213094 -0.0882663 0.973037 3.80153e+11
-0.156107 -0.0646617 0.985621 3.13648e+11
-0.156107 0.0646617 0.985621 3.13648e+11
-6.27744e+66 -6.27744e+66 -6.27744e+66 -6.27744e+66
-0.213094 -0.0882663 0.973037 3.80153e+11
-0.202625 -0.202625 0.958064 3.07585e+11
-0.0882663 -0.213094 0.973037 3.80153e+11
-0.0646617 -0.156107 0.985621 3.13648e+11
-0.0857685 -0.0857685 0.992617 4.0589e+11
-0.156107 -0.0646617 0.985621 3.13648e+11
